voucher_id,transaction_date,transaction_type,department,partner,evidence_type,evidence_no,description,total_amount,error_column,error_type,detail
JV2026081476,2026-08-12,원재료 매입,구매팀,해솔고무소재,전자세금계산서,TAX-202608-0476,자동차부품용 소재 매입,3575000,vat_amount,부가세 계산 오류,"입력 335,000원 / 예상 325,000원"
JV2026081489,2026-08-12,공장 전기요금,생산1팀,한결공장전력,전자세금계산서,,생산2공장 전기요금,5280000,evidence_no,필수값 누락,evidence_no: 값 누락
JV2026081197,2026-08-13,산업용 소모품 구매,생산1팀,새길포장산업,법인카드,TAX-202608-0197,생산 작업용 장갑 구매,1023000,debit_account_1,존재하지 않는 계정과목,9999: 계정과목 기준표에 없음
JV2026081218,2026-08-14,경영서비스 수수료,D999,정도경영서비스,전자세금계산서,TAX-202608-0218,경영관리 서비스 비용,1826000,department_code,존재하지 않는 부서,D999: 부서 기준표에 없음
JV2026081399,2026-08-14,공장 전기요금,생산1팀,한결공장전력,전자세금계산서,CARD-202608-0001,생산2공장 전기요금,1221000,evidence_no,증빙번호 중복,CARD-202608-0001: 중복 증빙
JV2026081157,2026-08-15,산업용 소모품 구매,생산1팀,새길포장산업,법인카드,TAX-202608-0157,검사용 소모품 구매,638000,vat_amount,부가세 계산 오류,"입력 68,000원 / 예상 58,000원"
JV2026081463,2026-08-15,생산설비 구매,D999,세움생산기계,전자세금계산서,TAX-202608-0463,생산설비 구매,23969000,department_code,존재하지 않는 부서,D999: 부서 기준표에 없음
JV2026081472,2026-08-16,산업용 소모품 구매,물류팀,새길포장산업,법인카드,TAX-202608-0472,,638000,description,필수값 누락,description: 값 누락
JV2026081077,2026-08-18,제품 판매,영업팀,V999,전자세금계산서,TAX-202608-0077,방진부품 외상 판매,9515000,partner_code,존재하지 않는 거래처,V999: 거래처 기준표에 없음
JV2026081228,2026-08-19,제품 판매,영업팀,태양모터시스템,전자세금계산서,CARD-202608-0001,방진부품 외상 판매,5467000,evidence_no,증빙번호 중복,CARD-202608-0001: 중복 증빙
JV2026081373,2026-08-19,산업용 소모품 구매,물류팀,한빛산업용품,법인카드,CARD-202608-0373,,726000,description,필수값 누락,description: 값 누락
JV2026081125,2026-08-20,제품 판매,영업팀,V999,전자세금계산서,TAX-202608-0125,고무호스 제품 외상 판매,12650000,partner_code,존재하지 않는 거래처,V999: 거래처 기준표에 없음
JV2026081211,2026-08-20,산업용 소모품 구매,물류팀,한빛산업용품,법인카드,CARD-202608-0211,생산 작업용 장갑 구매,221000,total_amount,전표 합계 불일치,"입력 221,000원 / 분개 231,000원"
JV2026081330,2026-08-20,공장 전기요금,생산1팀,한결공장전력,전자세금계산서,CARD-202608-0001,공장 설비 전력 사용료,3949000,evidence_no,증빙번호 중복,CARD-202608-0001: 중복 증빙
JV2026081372,2026-08-21,원재료 매입,구매팀,다온화학소재,전자세금계산서,TAX-202608-0372,고무 원재료 외상 매입,4412000,total_amount,전표 합계 불일치,"입력 4,412,000원 / 분개 4,422,000원"
JV2026081461,2026-08-21,제품 판매,영업팀,태양모터시스템,전자세금계산서,TAX-202608-0461,고무호스 제품 외상 판매,4840000,vat_amount,부가세 계산 오류,"입력 450,000원 / 예상 440,000원"
JV2026081470,2026-08-22,공장 전기요금,생산2팀,한결공장전력,전자세금계산서,,생산1공장 전기요금,3509000,evidence_no,필수값 누락,evidence_no: 값 누락
JV2026081267,2026-08-24,산업용 소모품 구매,품질관리팀,한빛산업용품,법인카드,CARD-202608-0267,,1056000,description,필수값 누락,description: 값 누락
JV2026081195,2026-08-25,산업용 소모품 구매,품질관리팀,한빛산업용품,법인카드,CARD-202608-0195,제품 포장재 구매,407000,debit_account_1,존재하지 않는 계정과목,9999: 계정과목 기준표에 없음
JV2026081247,2026-08-25,제품 판매,영업팀,V999,전자세금계산서,TAX-202608-0247,방진부품 외상 판매,14564000,partner_code,존재하지 않는 거래처,V999: 거래처 기준표에 없음
JV2026081253,2026-08-27,운송비,D999,바른산업물류,전자세금계산서,TAX-202608-0253,긴급 납품 운송비,1397000,department_code,존재하지 않는 부서,D999: 부서 기준표에 없음
JV2026081083,2026-08-28,원재료 매입,구매팀,다온화학소재,전자세금계산서,TAX-202608-0083,고무 원재료 외상 매입,6655000,debit_amount_1,차변·대변 불일치,"차변 6,665,000원 / 대변 6,655,000원"
JV2026081345,2026-08-28,제품 판매,D999,한울오토테크,전자세금계산서,TAX-202608-0345,자동차용 고무부품 외상 판매,13992000,department_code,존재하지 않는 부서,D999: 부서 기준표에 없음
JV2026081374,2026-08-28,산업용 소모품 구매,생산1팀,V999,법인카드,CARD-202608-0374,검사용 소모품 구매,517000,partner_code,존재하지 않는 거래처,V999: 거래처 기준표에 없음
JV2026081016,2026-08-29,원재료 매입,구매팀,다온화학소재,전자세금계산서,TAX-202608-0016,합성고무 원재료 구매,5511000,debit_amount_1,차변·대변 불일치,"차변 5,521,000원 / 대변 5,511,000원"
JV2026081063,2026-08-29,산업용 소모품 구매,품질관리팀,한빛산업용품,법인카드,,생산 작업용 장갑 구매,297000,evidence_no,필수값 누락,evidence_no: 값 누락
JV2026081117,2026-08-29,원재료 매입,구매팀,해솔고무소재,전자세금계산서,TAX-202608-0117,고무 원재료 외상 매입,8515000,total_amount,전표 합계 불일치,"입력 8,515,000원 / 분개 8,525,000원"
JV2026081322,2026-08-30,원재료 매입,구매팀,해솔고무소재,전자세금계산서,TAX-202608-0322,합성고무 원재료 구매,5038000,vat_amount,부가세 계산 오류,"입력 468,000원 / 예상 458,000원"
JV2026081443,2026-08-30,생산설비 구매,구매팀,세움생산기계,전자세금계산서,TAX-202608-0443,품질검사 설비 구매,47191000,total_amount,전표 합계 불일치,"입력 47,191,000원 / 분개 47,201,000원"
JV2026081353,2026-08-31,제품 판매,영업팀,미래모빌리티,전자세금계산서,TAX-202608-0353,방진부품 외상 판매,9174000,debit_amount_1,차변·대변 불일치,"차변 9,184,000원 / 대변 9,174,000원"
JV2026081444,2026-08-31,원재료 매입,구매팀,다온화학소재,전자세금계산서,CARD-202608-0001,합성고무 원재료 구매,7524000,evidence_no,증빙번호 중복,CARD-202608-0001: 중복 증빙
JV2026081095,2026-09-05,원재료 매입,구매팀,해솔고무소재,전자세금계산서,TAX-202608-0095,합성고무 원재료 구매,2486000,transaction_date,회계기간 이탈,2026-09-05: 회계기간 아님
JV2026081137,2026-09-05,경영서비스 수수료,경영지원팀,정도경영서비스,전자세금계산서,TAX-202608-0137,업무 시스템 자문료,1727000,transaction_date,회계기간 이탈,2026-09-05: 회계기간 아님
JV2026081144,2026-09-05,원재료 매입,구매팀,다온화학소재,전자세금계산서,TAX-202608-0144,고무 원재료 외상 매입,2728000,transaction_date,회계기간 이탈,2026-09-05: 회계기간 아님
JV2026081152,2026-09-05,원재료 매입,구매팀,해솔고무소재,전자세금계산서,TAX-202608-0152,자동차부품용 소재 매입,2684000,transaction_date,회계기간 이탈,2026-09-05: 회계기간 아님
JV2026081304,2026-09-05,제품 판매,영업팀,태양모터시스템,전자세금계산서,TAX-202608-0304,자동차용 고무부품 외상 판매,3421000,transaction_date,회계기간 이탈,2026-09-05: 회계기간 아님
