voucher_id,transaction_date,transaction_type,department_code,partner_code,evidence_type,evidence_no,description,debit_account_1,debit_amount_1,debit_account_2,debit_amount_2,credit_account_1,credit_amount_1,credit_account_2,credit_amount_2,supply_amount,vat_amount,total_amount,remarks,error_count,error_types,processing_status,column,error_type_detail,detail
JV2026081180,2026-08-11,운송비,D007,V005,전자세금계산서,TAX-202608-0180,긴급 납품 운송비,9999,1370000,1180.0,137000,2120,1507000,,0,1370000,137000,1507000,포트폴리오용 합성 거래,1,존재하지 않는 계정과목,검토 필요,debit_account_1,존재하지 않는 계정과목,9999: 계정과목 기준표에 없음
JV2026081195,2026-08-25,산업용 소모품 구매,D005,V003,법인카드,CARD-202608-0195,제품 포장재 구매,9999,370000,1180.0,37000,2140,407000,,0,370000,37000,407000,포트폴리오용 합성 거래,1,존재하지 않는 계정과목,검토 필요,debit_account_1,존재하지 않는 계정과목,9999: 계정과목 기준표에 없음
JV2026081197,2026-08-13,산업용 소모품 구매,D003,V004,법인카드,TAX-202608-0197,생산 작업용 장갑 구매,9999,930000,1180.0,93000,2110,1023000,,0,930000,93000,1023000,포트폴리오용 합성 거래,1,존재하지 않는 계정과목,검토 필요,debit_account_1,존재하지 않는 계정과목,9999: 계정과목 기준표에 없음
JV2026081207,2026-08-06,공장 전기요금,D003,V006,전자세금계산서,TAX-202608-0207,공장 설비 전력 사용료,9999,2170000,1180.0,217000,2120,2387000,,0,2170000,217000,2387000,포트폴리오용 합성 거래,1,존재하지 않는 계정과목,검토 필요,debit_account_1,존재하지 않는 계정과목,9999: 계정과목 기준표에 없음
JV2026081209,2026-08-08,제품 판매,D006,V999,전자세금계산서,TAX-202608-0209,방진부품 외상 판매,1130,14839000,,0,4110,13490000,2180.0,1349000,13490000,1349000,14839000,포트폴리오용 합성 거래,1,존재하지 않는 거래처,검토 필요,partner_code,존재하지 않는 거래처,V999: 거래처 기준표에 없음
JV2026081211,2026-08-20,산업용 소모품 구매,D007,V003,법인카드,CARD-202608-0211,생산 작업용 장갑 구매,5130,210000,1180.0,21000,2140,231000,,0,210000,21000,221000,포트폴리오용 합성 거래,1,전표 합계 불일치,검토 필요,total_amount,전표 합계 불일치,"입력 221,000원 / 분개 231,000원"
JV2026081218,2026-08-14,경영서비스 수수료,D999,V008,전자세금계산서,TAX-202608-0218,경영관리 서비스 비용,5160,1660000,1180.0,166000,2120,1826000,,0,1660000,166000,1826000,포트폴리오용 합성 거래,1,존재하지 않는 부서,검토 필요,department_code,존재하지 않는 부서,D999: 부서 기준표에 없음
JV2026081228,2026-08-19,제품 판매,D006,C003,전자세금계산서,CARD-202608-0001,방진부품 외상 판매,1130,5467000,,0,4110,4970000,2180.0,497000,4970000,497000,5467000,포트폴리오용 합성 거래,1,증빙번호 중복,검토 필요,evidence_no,증빙번호 중복,CARD-202608-0001: 중복 증빙
JV2026081247,2026-08-25,제품 판매,D006,V999,전자세금계산서,TAX-202608-0247,방진부품 외상 판매,1130,14564000,,0,4110,13240000,2180.0,1324000,13240000,1324000,14564000,포트폴리오용 합성 거래,1,존재하지 않는 거래처,검토 필요,partner_code,존재하지 않는 거래처,V999: 거래처 기준표에 없음
JV2026081251,2026-08-06,운송비,D007,V005,전자세금계산서,TAX-202608-0251,긴급 납품 운송비,5140,1500000,1180.0,149000,2120,1639000,,0,1490000,149000,1639000,포트폴리오용 합성 거래,1,차변·대변 불일치,검토 필요,debit_amount_1,차변·대변 불일치,"차변 1,649,000원 / 대변 1,639,000원"
JV2026081253,2026-08-27,운송비,D999,V005,전자세금계산서,TAX-202608-0253,긴급 납품 운송비,5140,1270000,1180.0,127000,2120,1397000,,0,1270000,127000,1397000,포트폴리오용 합성 거래,1,존재하지 않는 부서,검토 필요,department_code,존재하지 않는 부서,D999: 부서 기준표에 없음
JV2026081267,2026-08-24,산업용 소모품 구매,D005,V003,법인카드,CARD-202608-0267,,5130,960000,1180.0,96000,2140,1056000,,0,960000,96000,1056000,포트폴리오용 합성 거래,1,필수값 누락,검토 필요,description,필수값 누락,description: 값 누락
JV2026081286,2026-08-06,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0286,고무 원재료 외상 매입,1210,1340000,1180.0,133000,2110,1463000,,0,1330000,133000,1463000,포트폴리오용 합성 거래,1,차변·대변 불일치,검토 필요,debit_amount_1,차변·대변 불일치,"차변 1,473,000원 / 대변 1,463,000원"
JV2026081289,2026-08-08,제품 판매,D006,C002,전자세금계산서,,방진부품 외상 판매,1130,9999000,,0,4110,9090000,2180.0,909000,9090000,909000,9999000,포트폴리오용 합성 거래,1,필수값 누락,검토 필요,evidence_no,필수값 누락,evidence_no: 값 누락
JV2026081304,2026-09-05,제품 판매,D006,C003,전자세금계산서,TAX-202608-0304,자동차용 고무부품 외상 판매,1130,3421000,,0,4110,3110000,2180.0,311000,3110000,311000,3421000,포트폴리오용 합성 거래,1,회계기간 이탈,검토 필요,transaction_date,회계기간 이탈,2026-09-05: 회계기간 아님
JV2026081315,2026-08-04,공장 전기요금,D004,V006,전자세금계산서,TAX-202608-0315,생산1공장 전기요금,5150,4480000,1180.0,448000,2120,4928000,,0,4480000,458000,4928000,포트폴리오용 합성 거래,1,부가세 계산 오류,검토 필요,vat_amount,부가세 계산 오류,"입력 458,000원 / 예상 448,000원"
JV2026081322,2026-08-30,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0322,합성고무 원재료 구매,1210,4580000,1180.0,458000,2110,5038000,,0,4580000,468000,5038000,포트폴리오용 합성 거래,1,부가세 계산 오류,검토 필요,vat_amount,부가세 계산 오류,"입력 468,000원 / 예상 458,000원"
JV2026081330,2026-08-20,공장 전기요금,D003,V006,전자세금계산서,CARD-202608-0001,공장 설비 전력 사용료,5150,3590000,1180.0,359000,2120,3949000,,0,3590000,359000,3949000,포트폴리오용 합성 거래,1,증빙번호 중복,검토 필요,evidence_no,증빙번호 중복,CARD-202608-0001: 중복 증빙
JV2026081345,2026-08-28,제품 판매,D999,C004,전자세금계산서,TAX-202608-0345,자동차용 고무부품 외상 판매,1130,13992000,,0,4110,12720000,2180.0,1272000,12720000,1272000,13992000,포트폴리오용 합성 거래,1,존재하지 않는 부서,검토 필요,department_code,존재하지 않는 부서,D999: 부서 기준표에 없음
JV2026081349,2026-08-01,제품 판매,D006,C004,전자세금계산서,TAX-202608-0349,,1130,9570000,,0,4110,8700000,2180.0,870000,8700000,870000,9570000,포트폴리오용 합성 거래,1,필수값 누락,검토 필요,description,필수값 누락,description: 값 누락
JV2026081353,2026-08-31,제품 판매,D006,C001,전자세금계산서,TAX-202608-0353,방진부품 외상 판매,1130,9184000,,0,4110,8340000,2180.0,834000,8340000,834000,9174000,포트폴리오용 합성 거래,1,차변·대변 불일치,검토 필요,debit_amount_1,차변·대변 불일치,"차변 9,184,000원 / 대변 9,174,000원"
JV2026081372,2026-08-21,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0372,고무 원재료 외상 매입,1210,4020000,1180.0,402000,2110,4422000,,0,4020000,402000,4412000,포트폴리오용 합성 거래,1,전표 합계 불일치,검토 필요,total_amount,전표 합계 불일치,"입력 4,412,000원 / 분개 4,422,000원"
JV2026081373,2026-08-19,산업용 소모품 구매,D007,V003,법인카드,CARD-202608-0373,,5130,660000,1180.0,66000,2140,726000,,0,660000,66000,726000,포트폴리오용 합성 거래,1,필수값 누락,검토 필요,description,필수값 누락,description: 값 누락
JV2026081374,2026-08-28,산업용 소모품 구매,D003,V999,법인카드,CARD-202608-0374,검사용 소모품 구매,5130,470000,1180.0,47000,2140,517000,,0,470000,47000,517000,포트폴리오용 합성 거래,1,존재하지 않는 거래처,검토 필요,partner_code,존재하지 않는 거래처,V999: 거래처 기준표에 없음
JV2026081399,2026-08-14,공장 전기요금,D003,V006,전자세금계산서,CARD-202608-0001,생산2공장 전기요금,5150,1110000,1180.0,111000,2120,1221000,,0,1110000,111000,1221000,포트폴리오용 합성 거래,1,증빙번호 중복,검토 필요,evidence_no,증빙번호 중복,CARD-202608-0001: 중복 증빙
JV2026081409,2026-08-02,공장 전기요금,D004,V006,전자세금계산서,TAX-202608-0409,,5150,3270000,1180.0,327000,2120,3597000,,0,3270000,327000,3597000,포트폴리오용 합성 거래,1,필수값 누락,검토 필요,description,필수값 누락,description: 값 누락
JV2026081441,2026-08-04,원재료 매입,D999,V001,전자세금계산서,TAX-202608-0441,합성고무 원재료 구매,1210,1000000,1180.0,100000,2110,1100000,,0,1000000,100000,1100000,포트폴리오용 합성 거래,1,존재하지 않는 부서,검토 필요,department_code,존재하지 않는 부서,D999: 부서 기준표에 없음
JV2026081443,2026-08-30,생산설비 구매,D002,V007,전자세금계산서,TAX-202608-0443,품질검사 설비 구매,1510,42910000,1180.0,4291000,2120,47201000,,0,42910000,4291000,47191000,포트폴리오용 합성 거래,1,전표 합계 불일치,검토 필요,total_amount,전표 합계 불일치,"입력 47,191,000원 / 분개 47,201,000원"
JV2026081444,2026-08-31,원재료 매입,D002,V002,전자세금계산서,CARD-202608-0001,합성고무 원재료 구매,1210,6840000,1180.0,684000,2110,7524000,,0,6840000,684000,7524000,포트폴리오용 합성 거래,1,증빙번호 중복,검토 필요,evidence_no,증빙번호 중복,CARD-202608-0001: 중복 증빙
JV2026081461,2026-08-21,제품 판매,D006,C003,전자세금계산서,TAX-202608-0461,고무호스 제품 외상 판매,1130,4840000,,0,4110,4400000,2180.0,440000,4400000,450000,4840000,포트폴리오용 합성 거래,1,부가세 계산 오류,검토 필요,vat_amount,부가세 계산 오류,"입력 450,000원 / 예상 440,000원"
JV2026081463,2026-08-15,생산설비 구매,D999,V007,전자세금계산서,TAX-202608-0463,생산설비 구매,1510,21790000,1180.0,2179000,2120,23969000,,0,21790000,2179000,23969000,포트폴리오용 합성 거래,1,존재하지 않는 부서,검토 필요,department_code,존재하지 않는 부서,D999: 부서 기준표에 없음
JV2026081470,2026-08-22,공장 전기요금,D004,V006,전자세금계산서,,생산1공장 전기요금,5150,3190000,1180.0,319000,2120,3509000,,0,3190000,319000,3509000,포트폴리오용 합성 거래,1,필수값 누락,검토 필요,evidence_no,필수값 누락,evidence_no: 값 누락
JV2026081472,2026-08-16,산업용 소모품 구매,D007,V004,법인카드,TAX-202608-0472,,5130,580000,1180.0,58000,2110,638000,,0,580000,58000,638000,포트폴리오용 합성 거래,1,필수값 누락,검토 필요,description,필수값 누락,description: 값 누락
JV2026081476,2026-08-12,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0476,자동차부품용 소재 매입,1210,3250000,1180.0,325000,2110,3575000,,0,3250000,335000,3575000,포트폴리오용 합성 거래,1,부가세 계산 오류,검토 필요,vat_amount,부가세 계산 오류,"입력 335,000원 / 예상 325,000원"
JV2026081489,2026-08-12,공장 전기요금,D003,V006,전자세금계산서,,생산2공장 전기요금,5150,4800000,1180.0,480000,2120,5280000,,0,4800000,480000,5280000,포트폴리오용 합성 거래,1,필수값 누락,검토 필요,evidence_no,필수값 누락,evidence_no: 값 누락
